round,visited,failed
0, 16, 0
1, 120, 105
2, 665, 1135
3, 2797, 7178
4, 9311, 32104
5, 18000, 43440
6, 17081, 44359
7, 17004, 44436
8, 14715, 46725
9, 13772, 47668
10, 12816, 48624
11, 12005, 49435
12, 11431, 50009
13, 10683, 50757
14, 10381, 51059
15, 9704, 51736
16, 8963, 52477
17, 8403, 53037
18, 7851, 53589
19, 7609, 53831
20, 6841, 54599
21, 6487, 54953
22, 5895, 55545
23, 5459, 55981
24, 5038, 56402
25, 4524, 56826
26, 4113, 57162
27, 3462, 56253
28, 2778, 49062
29, 2004, 39666
30, 1402, 28658
31, 899, 20131
32, 602, 12883
33, 388, 8642
34, 218, 5602
35, 122, 3148
36, 72, 1758
37, 36, 1044
38, 21, 519
39, 9, 306
40, 5, 130
41, 4, 71
42, 2, 58
43, 1, 29
44, 1, 14
45, 0, 15
