round,visited,failed
0, 33, 0
1, 494, 530
2, 4905, 10903
3, 30907, 59013
4, 37364, 93708
5, 32881, 98191
6, 29767, 101305
7, 25832, 105240
8, 21714, 109358
9, 17771, 113301
10, 14225, 116847
11, 11032, 120040
12, 8359, 122713
13, 6325, 124747
14, 4767, 126305
15, 3510, 127274
16, 2251, 110069
17, 1183, 70849
18, 524, 37332
19, 215, 16553
20, 93, 6787
21, 36, 2940
22, 12, 1140
23, 2, 382
24, 0, 64
