run,block,thread,state,uniques,visited,visited_percent,vts,total_visited
0,,,,,1.5129e+06,94.8933,250,58167677
1,,,,,1.54164e+06,96.6959,500,58172515
2,,,,,1.55084e+06,97.273,750,58155776
3,,,,,1.55621e+06,97.6095,1000,58157874
4,,,,,1.56255e+06,98.0072,1250,58160248
5,,,,,1.56538e+06,98.1845,1500,58171226
6,,,,,1.56904e+06,98.4143,1750,58160953
7,,,,,1.57079e+06,98.5239,2000,58163152
8,,,,,1.57342e+06,98.6892,2250,58158765
9,,,,,1.57487e+06,98.7797,2500,58158576
10,,,,,1.57661e+06,98.8889,2750,58162524
11,,,,,1.57783e+06,98.9658,3000,58152254
12,,,,,1.57821e+06,98.9894,3250,58158989
13,,,,,1.57886e+06,99.0304,3500,58168867
14,,,,,1.57909e+06,99.0444,3750,58171102
15,,,,,1.58023e+06,99.1162,4000,58171612
16,,,,,1.58149e+06,99.1951,4250,58160426
17,,,,,1.58182e+06,99.2157,4500,58164443
18,,,,,1.58225e+06,99.2429,4750,58160301
19,,,,,1.58225e+06,99.2429,5000,58167709
20,,,,,1.58278e+06,99.2762,5250,58169939
21,,,,,1.58316e+06,99.3,5500,58164209
22,,,,,1.58402e+06,99.3539,5750,58163182
23,,,,,1.58424e+06,99.3678,6000,58158216
24,,,,,1.58429e+06,99.3709,6250,58166349
25,,,,,1.58449e+06,99.3836,6500,58150741
26,,,,,1.58495e+06,99.4122,6750,58158516
27,,,,,1.5851e+06,99.4217,7000,58167095
28,,,,,1.58515e+06,99.4249,7250,58166797
29,,,,,1.58526e+06,99.4319,7500,58172330
30,,,,,1.58531e+06,99.435,7750,58148364
31,,,,,1.58531e+06,99.435,8000,58170003
32,,,,,1.58562e+06,99.4541,8250,58163425
33,,,,,1.58608e+06,99.4828,8500,58165148
34,,,,,1.58643e+06,99.5051,8750,58161165
35,,,,,1.58648e+06,99.5082,9000,58170722
36,,,,,1.58656e+06,99.513,9250,58172310
37,,,,,1.58747e+06,99.5704,9500,58158805
38,,,,,1.58765e+06,99.5816,9750,58163206
39,,,,,1.58785e+06,99.5943,10000,58168277
40,,,,,1.58811e+06,99.6103,10250,58162193
41,,,,,1.58841e+06,99.629,10500,58154551
42,,,,,1.58866e+06,99.645,10750,58167393
43,,,,,1.58866e+06,99.645,11000,58167476
44,,,,,1.58907e+06,99.6705,11250,58161381
45,,,,,1.58907e+06,99.6705,11500,58171416
46,,,,,1.58927e+06,99.6833,11750,58170320
47,,,,,1.58938e+06,99.6897,12000,58157355
48,,,,,1.58948e+06,99.6961,12250,58163274
49,,,,,1.58973e+06,99.7121,12500,58158104
50,,,,,1.58973e+06,99.7121,12750,58160709
51,,,,,1.58981e+06,99.7169,13000,58165769
52,,,,,1.58981e+06,99.7169,13250,58169695
53,,,,,1.58983e+06,99.7181,13500,58154472
54,,,,,1.59044e+06,99.7565,13750,58155904
55,,,,,1.59072e+06,99.7741,14000,58165006
56,,,,,1.59087e+06,99.7837,14250,58164910
57,,,,,1.59087e+06,99.7837,14500,58164200
58,,,,,1.59087e+06,99.7837,14750,58161105
59,,,,,1.59103e+06,99.7933,15000,58158308
60,,,,,1.59103e+06,99.7933,15250,58169863
61,,,,,1.59103e+06,99.7933,15500,58167687
62,,,,,1.59103e+06,99.7933,15750,58161017
63,,,,,1.59103e+06,99.7933,16000,58167219
64,,,,,1.59113e+06,99.7997,16250,58155784
65,,,,,1.59113e+06,99.7997,16500,58155286
66,,,,,1.59113e+06,99.7997,16750,58165855
67,,,,,1.59113e+06,99.7997,17000,58167942
68,,,,,1.59113e+06,99.7997,17250,58164641
69,,,,,1.59113e+06,99.7997,17500,58171107
70,,,,,1.59122e+06,99.8053,17750,58165328
71,,,,,1.59122e+06,99.8053,18000,58169704
72,,,,,1.59122e+06,99.8053,18250,58160167
73,,,,,1.59122e+06,99.8053,18500,58157471
74,,,,,1.59122e+06,99.8053,18750,58155453
75,,,,,1.59145e+06,99.8198,19000,58167133
76,,,,,1.59155e+06,99.8262,19250,58162384
77,,,,,1.59155e+06,99.8262,19500,58158119
78,,,,,1.59155e+06,99.8262,19750,58159308
79,,,,,1.59155e+06,99.8262,20000,58155327
80,,,,,1.59195e+06,99.851,20250,58155013
81,,,,,1.59195e+06,99.851,20500,58163797
82,,,,,1.59204e+06,99.8566,20750,58160064
83,,,,,1.59204e+06,99.8566,21000,58154834
84,,,,,1.59204e+06,99.8566,21250,58161629
85,,,,,1.59204e+06,99.8566,21500,58167740
86,,,,,1.59204e+06,99.8566,21750,58160918
87,,,,,1.59204e+06,99.8566,22000,58159864
88,,,,,1.59214e+06,99.863,22250,58170254
89,,,,,1.59214e+06,99.863,22500,58161038
90,,,,,1.59234e+06,99.8755,22750,58164800
91,,,,,1.59234e+06,99.8755,23000,58173681
92,,,,,1.59254e+06,99.8883,23250,58161149
93,,,,,1.59254e+06,99.8883,23500,58166648
94,,,,,1.59267e+06,99.8963,23750,58158796
95,,,,,1.59267e+06,99.8963,24000,58167203
96,,,,,1.59267e+06,99.8963,24250,58164488
97,,,,,1.59275e+06,99.9012,24500,58163826
98,,,,,1.59275e+06,99.9012,24750,58166382
99,,,,,1.59275e+06,99.9012,25000,58162068
100,,,,,1.59275e+06,99.9012,25250,58158558
101,,,,,1.59275e+06,99.9012,25500,58174625
102,,,,,1.59275e+06,99.9012,25750,58161142
