round,ncs,p1,p2,p3,cs
265,2,8,13,6,6
266,3,9,15,6,7
267,6,11,10,7,5
268,6,7,14,2,10
269,9,3,13,7,8
270,1,11,11,9,10
271,4,4,11,4,10
272,10,8,6,4,4
273,1,14,7,7,4
274,5,9,13,1,5
275,2,4,7,6,6
276,4,5,12,0,7
277,2,4,6,3,4
278,6,4,3,1,3
279,2,6,7,2,1
280,1,6,6,3,3
281,1,3,4,9,3
282,1,2,5,2,7
283,4,4,3,0,2
284,3,3,7,0,2
285,0,4,7,6,1
286,0,3,6,3,3
287,2,0,3,3,3
288,2,0,3,1,4
289,3,1,2,2,1
290,1,2,2,0,4
291,2,1,3,0,1
292,1,2,0,1,0
293,0,1,3,0,1
294,0,2,2,0,0
295,0,0,4,0,0
296,0,0,1,1,0
297,0,0,0,0,1
298,1,0,1,0,0
299,1,0,0,0,0
300,0,1,0,0,0
301,0,0,1,1,0
302,0,0,1,0,0
303,0,0,0,0,0
