round,visited,failed
0, 4, 0
1, 9, 0
2, 21, 6
3, 33, 30
4, 37, 62
5, 33, 78
6, 27, 72
7, 27, 54
8, 39, 42
9, 51, 66
10, 51, 102
11, 51, 102
12, 63, 90
13, 92, 97
14, 142, 134
15, 155, 271
16, 154, 311
17, 182, 280
18, 230, 316
19, 285, 405
20, 300, 546
21, 299, 601
22, 345, 552
23, 409, 608
24, 469, 722
25, 518, 853
26, 582, 948
27, 677, 1069
28, 790, 1142
29, 875, 1375
30, 908, 1603
31, 943, 1736
32, 975, 1854
33, 1036, 1736
34, 1054, 1823
35, 1104, 1857
36, 1151, 2068
37, 1225, 2228
38, 1282, 2150
39, 1322, 2248
40, 1333, 2453
41, 1335, 2553
42, 1336, 2669
43, 1340, 2485
44, 1329, 2415
45, 1315, 2453
46, 1318, 2513
47, 1304, 2650
48, 1383, 2352
49, 1371, 2439
50, 1357, 2453
51, 1321, 2546
52, 1394, 2569
53, 1438, 2555
54, 1360, 2576
55, 1322, 2497
56, 1263, 2418
57, 1193, 2587
58, 1155, 2196
59, 1141, 1943
60, 1121, 2056
61, 1028, 2089
62, 995, 2083
63, 981, 1830
64, 895, 1763
65, 849, 1650
66, 795, 1569
67, 822, 1548
68, 871, 1493
69, 900, 1545
70, 896, 1660
71, 931, 1679
72, 963, 1797
73, 1036, 1763
74, 1091, 1807
75, 1106, 1987
76, 1105, 2051
77, 1135, 2099
78, 1135, 2168
79, 1163, 2041
80, 1168, 2159
81, 1179, 2214
82, 1205, 2254
83, 1198, 2336
84, 1202, 2254
85, 1188, 2265
86, 1187, 2209
87, 1138, 2297
88, 1109, 2152
89, 1136, 2065
90, 1128, 2124
91, 1102, 2081
92, 1127, 2035
93, 1150, 2117
94, 1105, 2186
95, 1091, 2086
96, 1104, 1986
97, 1084, 2078
98, 1093, 2069
99, 1081, 2027
100, 1023, 2040
101, 993, 1863
102, 981, 1887
103, 953, 1861
104, 922, 1790
105, 867, 1755
106, 851, 1612
107, 814, 1631
108, 819, 1503
109, 787, 1556
110, 744, 1515
111, 683, 1441
112, 634, 1337
113, 596, 1255
114, 570, 1152
115, 536, 1063
116, 494, 1039
117, 473, 946
118, 459, 891
119, 440, 901
120, 426, 834
121, 406, 785
122, 388, 764
123, 374, 748
124, 360, 723
125, 343, 668
126, 312, 645
127, 302, 574
128, 296, 598
129, 306, 546
130, 283, 554
131, 291, 486
132, 278, 532
133, 290, 523
134, 293, 535
135, 271, 551
136, 262, 479
137, 257, 472
138, 251, 490
139, 243, 471
140, 244, 440
141, 244, 425
142, 252, 435
143, 264, 486
144, 266, 472
145, 245, 487
146, 248, 406
147, 239, 478
148, 250, 467
149, 204, 501
150, 202, 371
151, 209, 355
152, 208, 398
153, 178, 437
154, 174, 333
155, 172, 326
156, 163, 314
157, 158, 316
158, 160, 314
159, 152, 316
160, 143, 298
161, 135, 267
162, 130, 263
163, 136, 254
164, 150, 246
165, 128, 277
166, 149, 202
167, 151, 287
168, 170, 283
169, 173, 325
170, 176, 304
171, 164, 334
172, 174, 303
173, 175, 347
174, 181, 317
175, 171, 333
176, 170, 295
177, 158, 322
178, 162, 306
179, 151, 299
180, 165, 264
181, 167, 274
182, 149, 322
183, 151, 287
184, 139, 281
185, 144, 252
186, 137, 268
187, 134, 256
188, 136, 266
189, 145, 227
190, 152, 259
191, 138, 285
192, 148, 257
193, 141, 303
194, 126, 282
195, 121, 233
196, 132, 204
197, 131, 253
198, 130, 263
199, 120, 252
200, 112, 221
201, 112, 203
202, 114, 207
203, 109, 233
204, 103, 206
205, 96, 189
206, 88, 185
207, 84, 177
208, 81, 171
209, 71, 160
210, 65, 127
211, 60, 129
212, 46, 125
213, 55, 83
214, 43, 119
215, 46, 83
216, 44, 82
217, 31, 92
218, 39, 54
219, 25, 77
220, 21, 48
221, 27, 33
222, 29, 46
223, 34, 53
224, 31, 62
225, 27, 48
226, 26, 46
227, 25, 38
228, 25, 50
229, 24, 48
230, 20, 49
231, 24, 36
232, 24, 48
233, 24, 48
234, 28, 44
235, 30, 54
236, 33, 51
237, 29, 61
238, 32, 55
239, 38, 52
240, 33, 69
241, 32, 58
242, 37, 50
243, 38, 73
244, 39, 69
245, 37, 68
246, 32, 64
247, 39, 48
248, 48, 69
249, 40, 92
250, 37, 62
251, 36, 66
252, 36, 72
253, 31, 77
254, 28, 59
255, 27, 45
256, 27, 51
257, 32, 49
258, 31, 65
259, 37, 56
260, 34, 65
261, 39, 54
262, 34, 68
263, 31, 71
264, 31, 53
265, 35, 55
266, 40, 56
267, 39, 81
268, 39, 78
269, 40, 74
270, 42, 69
271, 33, 87
272, 32, 64
273, 33, 63
274, 33, 63
275, 25, 71
276, 28, 41
277, 19, 59
278, 17, 40
279, 18, 30
280, 19, 35
281, 20, 34
282, 17, 43
283, 13, 38
284, 15, 24
285, 18, 24
286, 15, 36
287, 11, 34
288, 10, 23
289, 9, 21
290, 9, 18
291, 7, 14
292, 4, 17
293, 5, 7
294, 4, 11
295, 4, 8
296, 2, 10
297, 1, 5
298, 2, 1
299, 1, 5
300, 1, 2
301, 2, 1
302, 1, 5
303, 0, 3
