run,block,thread,state,uniques,visited,visited_percent,vts,total_visited
0,,,,,432272,0.0100646,250,39515643
1,,,,,480043,0.0111769,500,39410646
2,,,,,501814,0.0116838,750,39394633
3,,,,,518734,0.0120777,1000,39260325
4,,,,,537123,0.0125059,1250,39486571
5,,,,,546298,0.0127195,1500,39423481
6,,,,,555503,0.0129338,1750,39435165
7,,,,,561321,0.0130693,2000,39465586
8,,,,,569356,0.0132564,2250,39552879
9,,,,,575885,0.0134084,2500,39448714
10,,,,,582582,0.0135643,2750,39437560
11,,,,,586992,0.013667,3000,39488309
12,,,,,590595,0.0137509,3250,39527325
13,,,,,594709,0.0138466,3500,39427016
14,,,,,597634,0.0139147,3750,39319325
15,,,,,602528,0.0140287,4000,39367707
16,,,,,605474,0.0140973,4250,39386416
17,,,,,611745,0.0142433,4500,39495312
18,,,,,616964,0.0143648,4750,39469199
19,,,,,618865,0.0144091,5000,39441790
20,,,,,624371,0.0145373,5250,39612463
21,,,,,628613,0.014636,5500,39408774
22,,,,,633590,0.0147519,5750,39450286
23,,,,,636040,0.014809,6000,39571956
24,,,,,637850,0.0148511,6250,39479834
25,,,,,639389,0.0148869,6500,39430450
26,,,,,641067,0.014926,6750,39395112
27,,,,,644307,0.0150014,7000,39549757
28,,,,,645415,0.0150272,7250,39439368
29,,,,,647349,0.0150723,7500,39414010
30,,,,,650926,0.0151556,7750,39474627
31,,,,,651894,0.0151781,8000,39269734
32,,,,,654458,0.0152378,8250,39388465
33,,,,,656756,0.0152913,8500,39431847
34,,,,,658532,0.0153326,8750,39342332
35,,,,,659259,0.0153496,9000,39259937
36,,,,,660718,0.0153835,9250,39471952
37,,,,,661878,0.0154105,9500,39358884
38,,,,,663529,0.015449,9750,39554162
39,,,,,664472,0.015471,10000,39495650
40,,,,,666547,0.0155192,10250,39588608
41,,,,,668335,0.0155609,10500,39454128
42,,,,,671780,0.0156411,10750,39498074
43,,,,,672984,0.0156691,11000,39529581
44,,,,,674573,0.0157061,11250,39573725
45,,,,,676495,0.0157509,11500,39586659
46,,,,,677657,0.0157779,11750,39437442
47,,,,,679583,0.0158228,12000,39520034
48,,,,,680447,0.0158429,12250,39469023
49,,,,,681048,0.0158569,12500,39435154
50,,,,,681542,0.0158684,12750,39391387
51,,,,,682845,0.0158987,13000,39529604
52,,,,,685210,0.0159538,13250,39467508
53,,,,,686216,0.0159772,13500,39506162
54,,,,,686909,0.0159934,13750,39428511
55,,,,,687581,0.016009,14000,39342840
56,,,,,689084,0.016044,14250,39535995
57,,,,,689789,0.0160604,14500,39271663
58,,,,,690310,0.0160725,14750,39320660
59,,,,,691124,0.0160915,15000,39451631
60,,,,,691797,0.0161071,15250,39420142
61,,,,,692326,0.0161195,15500,39458872
62,,,,,692756,0.0161295,15750,39407265
63,,,,,694341,0.0161664,16000,39582470
64,,,,,694581,0.016172,16250,39402359
65,,,,,695402,0.0161911,16500,39527699
66,,,,,695693,0.0161979,16750,39374276
67,,,,,696044,0.016206,17000,39429444
68,,,,,697655,0.0162435,17250,39465653
69,,,,,698586,0.0162652,17500,39476948
70,,,,,699107,0.0162774,17750,39457123
71,,,,,700186,0.0163025,18000,39456522
72,,,,,700648,0.0163132,18250,39445444
73,,,,,701492,0.0163329,18500,39425018
74,,,,,702472,0.0163557,18750,39556000
75,,,,,703577,0.0163814,19000,39456141
76,,,,,704373,0.0164,19250,39597950
77,,,,,704958,0.0164136,19500,39477477
78,,,,,706666,0.0164534,19750,39385169
79,,,,,707458,0.0164718,20000,39482717
80,,,,,708350,0.0164926,20250,39526568
81,,,,,709402,0.016517,20500,39423905
82,,,,,709737,0.0165249,20750,39508716
83,,,,,710024,0.0165315,21000,39542581
84,,,,,710988,0.016554,21250,39399786
85,,,,,711733,0.0165713,21500,39449594
86,,,,,712110,0.0165801,21750,39440538
87,,,,,712733,0.0165946,22000,39593355
88,,,,,713394,0.01661,22250,39491749
89,,,,,713836,0.0166203,22500,39475259
90,,,,,714206,0.0166289,22750,39507951
91,,,,,714906,0.0166452,23000,39450884
92,,,,,715786,0.0166657,23250,39396996
93,,,,,716243,0.0166763,23500,39443119
94,,,,,716626,0.0166853,23750,39427797
95,,,,,717028,0.0166946,24000,39512092
96,,,,,717880,0.0167144,24250,39530544
97,,,,,718403,0.0167266,24500,39475375
98,,,,,718829,0.0167365,24750,39560321
99,,,,,719350,0.0167487,25000,39289322
100,,,,,719883,0.0167611,25250,39388207
101,,,,,720728,0.0167807,25500,39428171
102,,,,,721310,0.0167943,25750,39387943
103,,,,,721986,0.0168101,26000,39517608
104,,,,,722468,0.0168213,26250,39445067
105,,,,,722927,0.0168319,26500,39463684
106,,,,,723090,0.0168358,26750,39415721
107,,,,,723444,0.016844,27000,39502342
108,,,,,724210,0.0168618,27250,39385139
109,,,,,724443,0.0168673,27500,39418419
110,,,,,725093,0.0168824,27750,39548712
111,,,,,725239,0.0168858,28000,39450357
112,,,,,725523,0.0168924,28250,39558501
113,,,,,725693,0.0168964,28500,39316465
114,,,,,726291,0.0169103,28750,39396113
115,,,,,726656,0.0169188,29000,39459817
116,,,,,727003,0.0169268,29250,39502359
117,,,,,727408,0.0169363,29500,39500825
118,,,,,727760,0.0169445,29750,39606465
119,,,,,728001,0.0169501,30000,39445868
120,,,,,728693,0.0169662,30250,39413716
121,,,,,729136,0.0169765,30500,39422494
122,,,,,729728,0.0169903,30750,39490610
123,,,,,730185,0.0170009,31000,39345323
124,,,,,730483,0.0170079,31250,39409482
125,,,,,730634,0.0170114,31500,39518855
126,,,,,731629,0.0170346,31750,39517375
127,,,,,732072,0.0170449,32000,39538025
128,,,,,732624,0.0170577,32250,39433276
129,,,,,733133,0.0170696,32500,39476410
130,,,,,733425,0.0170764,32750,39505350
131,,,,,734053,0.017091,33000,39494371
132,,,,,734380,0.0170986,33250,39523010
133,,,,,734910,0.017111,33500,39549088
134,,,,,735908,0.0171342,33750,39458400
