run,block,thread,state,uniques,visited,visited_percent,vts,total_visited
0,,,,,3.8079e+07,0.886596,250,91939932
0,12,13,-1582071078,1,3.8079e+07,0.886596,12,91939932
0,102,3,1951362811,2,3.8079e+07,0.886596,102,91939932
1,,,,,6.9027e+07,1.60716,500,91939887
2,,,,,9.68887e+07,2.25587,750,91932482
3,,,,,1.21717e+08,2.83393,1000,91933010
4,,,,,1.46812e+08,3.41824,1250,91932640
5,,,,,1.7052e+08,3.97023,1500,91936595
6,,,,,1.91591e+08,4.46082,1750,91931550
7,,,,,2.12966e+08,4.9585,2000,91936740
8,,,,,2.34825e+08,5.46745,2250,91932224
8,243,22,-973302145,3,2.34825e+08,5.46745,2243,91932224
9,,,,,2.53498e+08,5.90222,2500,91929183
10,,,,,2.71753e+08,6.32723,2750,91938721
11,,,,,2.91283e+08,6.78196,3000,91934865
12,,,,,3.08533e+08,7.1836,3250,91931852
13,,,,,3.25249e+08,7.57279,3500,91934410
13,34,14,-1657803211,4,3.25249e+08,7.57279,3284,91934410
14,,,,,3.41681e+08,7.95537,3750,91936880
15,,,,,3.59231e+08,8.364,4000,91942299
16,,,,,3.73978e+08,8.70736,4250,91939007
17,,,,,3.90006e+08,9.08054,4500,91938510
18,,,,,4.06148e+08,9.45638,4750,91935593
19,,,,,4.20992e+08,9.80199,5000,91935239
20,,,,,4.36891e+08,10.1722,5250,91938346
21,,,,,4.49799e+08,10.4727,5500,91932539
22,,,,,4.64539e+08,10.8159,5750,91935198
23,,,,,4.77161e+08,11.1098,6000,91927639
24,,,,,4.90648e+08,11.4238,6250,91928320
25,,,,,5.03754e+08,11.7289,6500,91934138
26,,,,,5.17688e+08,12.0534,6750,91933271
27,,,,,5.31365e+08,12.3718,7000,91929419
27,48,1,-1024509637,5,5.31365e+08,12.3718,6798,91929419
28,,,,,5.44229e+08,12.6713,7250,91934640
28,238,10,-305828449,6,5.44229e+08,12.6713,7238,91934640
29,,,,,5.56759e+08,12.9631,7500,91938351
30,,,,,5.69668e+08,13.2636,7750,91937108
30,210,27,-787884137,7,5.69668e+08,13.2636,7710,91937108
31,,,,,5.81618e+08,13.5419,8000,91930264
32,,,,,5.92422e+08,13.7934,8250,91933997
32,30,28,-1009488133,8,5.92422e+08,13.7934,8030,91933997
33,,,,,6.04614e+08,14.0773,8500,91938349
33,200,8,-1892053421,9,6.04614e+08,14.0773,8450,91938349
34,,,,,6.17044e+08,14.3667,8750,91934505
35,,,,,6.27657e+08,14.6138,9000,91936979
35,199,3,1621471265,10,6.27657e+08,14.6138,8949,91936979
36,,,,,6.37995e+08,14.8545,9250,91940301
37,,,,,6.49703e+08,15.1271,9500,91933027
37,179,31,-305828449,10,6.49703e+08,15.1271,9429,91933027
38,,,,,6.60476e+08,15.3779,9750,91934906
39,,,,,6.71665e+08,15.6384,10000,91938487
40,,,,,6.81832e+08,15.8751,10250,91934548
41,,,,,6.9252e+08,16.124,10500,91935406
42,,,,,7.01949e+08,16.3435,10750,91941719
